job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
99,IC&E Technician,"US, , Stocton, CA",Oil & Energy,95000-115000,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities: Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate. Participate in small construction projects.  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.          Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required.","QualificationsKnowledge, Skills &amp; Abilities: A high school diploma or GED is required. Must have a valid driver’s license. Ability to read, write, and communicate effectively in English.  Good math skills. Four years of experience as an I&amp;C Technician and/or Electrician in a power plant environment, preferably with a strong electrical background, up to and including, voltages to 15 KV to provide the following:Demonstrated knowledge of electrical equipment, electronics, schematics, basics of chemistry and physics and controls and instrumentation.Demonstrated knowledge of safe work practices associated with a power plant environment.Demonstrated ability to calibrate I&amp;C systems and equipment, including analytic equipment.Demonstrated ability to configure and operate various test instruments and equipment, as necessary, to troubleshoot and repair plant equipment including, but not limited to, distributed control systems, programmable logic controllers, motor control centers, transformers, generators, and continuous emissions monitor (CEM) systems.Demonstrated ability to work with others in a team environment. ","BENEFITSWhat is offered:Competitive compensation package100% matched retirement fundAnnual vacations paid for by companySignificant bonus structureOpportunity for advancement Full benefits packageAnnual performance reviews and base salary increasesAnnual cost of living increases Sound, clean, safe and enjoyable working environment &amp; Company CultureWorld renound management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goalsQualified candidates contact: Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#   ",0,1,1,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1
145,Forward Cap.,,,,,The group has raised a fund for the purchase of homes in the Southeast. The student on this project will help them build their investments from the ground up and will help with the analysis and modeling of their investments.  We should be looking for someone with a strong general finance skills and has a lot of entrepreneurial ability.,,,0,0,0,,,,,,1
174,Technician Instrument & Controls ,US,Power Plant & Energy,,"Edison International and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_80d75e0d07ca8b108539318a0443bfe5d1ff472afa0c4540b77079c5d5f31eee#) #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#","Technician Instrument &amp; ControlsLocation Deweyville, TXLocation Name: NRG Cottonwood EnergyCategory: MaintenanceState/City: US-TX-DeweyvilleType: Full Time Hourly# Openings: 1Details About this Career Opportunity:Overview:Company Profile:We deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. A Fortune 500 company is challenging the U.S. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. In addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.GENERAL SUMMARYThe Instrumentation Controls and Electrical Technician (IC&amp;E) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. The IC&amp;E Technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.PRIMARY FUNCTIONS-Safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.-Maintain complete equipment files, logs, and drawings for all designated equipment.-Assist in maintaining and controlling spare parts inventory to maintain plant reliability. Assist in physical inventories.-Participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.-Inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.-Conduct trouble shooting and analysis on DCS, PLC and GE Mark VI turbine control equipment.-Maintain all plant instrumentation and electrical test equipment.-Fully support and participate in NAES Safety and Regulatory Compliance Programs.-Complete other tasks as assigned by the Maintenance Manager or the Plant Manager.SCOPE OF RESPONSIBILITYThe IC&amp;E Technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. Decisions are made within prescribed operating and casualty procedures and guidelines. The ICE Technician encounters recurring work situations of high complexity, with occasional variations from the norm.The IC&amp;E Technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. The ICE Technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. The ICE Technician must perform duties in such a way to result in an optimum cost-benefit ratio.The IC&amp;E Technician may also be assigned the additional responsibility of Maintenance Coordinator/Planner for the site. This is a collateral assignment given to a selected maintenance department technician to assist the Operations and Maintenance Manager with the routine planning and coordination of the site equipment maintenance.The duties include:-The planning and review of the preventative, predictive and pro-active type maintenance.-A more in-depth knowledge and ability to use the CMMS system to provide the necessary review and planning to support the O&amp;M Manager in weekly work routines.-Ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.-Provide the coordination efforts necessary in support of allowing the O&amp;M Manager to provide the necessary supervision and direction of the maintenance technicians.All employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met.","JOB QUALIFICATIONS-Ability to understand procedures and instructions specific to the area of assignment as would be acquired in four years of high school.-Graduation from an accredited Instrument Technician Program and minimum two years’ work experience as a technician in a related industry desirable.-Four years work experience as a technician with increasing responsibility in a related industry may be substituted for the above requirement.-Experience in working with voltages up to 4160 volts highly desirable.-Must have excellent oral and written communication skills. Ability to work well with others and be self-directed, as well as apply creative solutions to unique I&amp;E problems is desirable.-Must be able to work from blueprints.-Must be skilled in the use of hand and power driven tools.-Must be proficient in computers and computer software such as MS Office, Excel, and Word; Networking, hardware, and current security requirements for NERC Compliance.Qualifications:Title/Salary Commensurate on ExperienceOfficial description on file with Human Resources","we are a team of almost 8,000 employees who help power almost 40 million homes and have more than 2 million residential and business customers across the country. Together, we are powering progress every day—from California to Texas and New Jersey to Arizona.",0,1,1,Full-time,Mid-Senior level,Certification,Electrical/Electronic Manufacturing,Other,1
181,Sales Executive,"PK, SD, Karachi",Sales,,,Sales Executive,Sales Executive,Sales Executive,0,0,0,,,,,Sales,1
216,IC&E Technician Mt Poso,"US, CA, Bakersfield, CA / Mt. Poso",Oil & Energy,95000-115000,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities: Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate. Participate in small construction projects.  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.          Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required. "," QualificationsKnowledge, Skills &amp; Abilities: A high school diploma or GED is required. Must have a valid driver’s license. Ability to read, write, and communicate effectively in English.  Good math skills. Four years of experience as an I&amp;C Technician and/or Electrician in a power plant environment, preferably with a strong electrical background, up to and including, voltages to 15 KV to provide the following:Demonstrated knowledge of electrical equipment, electronics, schematics, basics of chemistry and physics and controls and instrumentation.Demonstrated knowledge of safe work practices associated with a power plant environment.Demonstrated ability to calibrate I&amp;C systems and equipment, including analytic equipment.Demonstrated ability to configure and operate various test instruments and equipment, as necessary, to troubleshoot and repair plant equipment including, but not limited to, distributed control systems, programmable logic controllers, motor control centers, transformers, generators, and continuous emissions monitor (CEM) systems.Demonstrated ability to work with others in a team environment. ","BENEFITSWhat is offered:Competitive compensation package100% matched retirement fundAnnual vacations paid for by companySignificant bonus structureOpportunity for advancement Full benefits packageAnnual performance reviews and base salary increasesAnnual cost of living increases Sound, clean, safe and enjoyable working environment &amp; Company CultureWorld renound management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goalsPlease Apply for Immediate Consideration. Qualified candidates contact: Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#    ",0,1,1,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1
358,Financing Auto(car) sales,"US, IL, hazelcrest",hr,35000-73000,Looking for adventurous people to join a thriving industry.  We offer training and competitive earnings.  Find out why imports are the way to go and view our cars at our website.,If you have experience in financing for auto sales and a great attitude you can work in our Hazelcrest office.  From $500 top $1000 a week by contract.,prior car sales expprior car loan financing exp,profit sharingcar allowancecompany car,0,0,0,Contract,Associate,,Automotive,,1
494,Admin Assistant/ Receptionist ,"US, CA, Los Angeles",,23040-28800,,"A Newly established company seeks outgoing, friendly people person with a can do attitude for a Admin Assistant/ Receptionist position yet to be occupiedJob duties include answering phones, setting appts and working with the owner to keep the office running smooth. Processing of tax returns, keeping database current and scanning of all tax documents.","Must have good knowledge of Outlook, Microsoft Word and Excel, and excellent overall computer skills. Any background with Quickbooks, Ultratax or working in a CPA office would be helpful. Must be extremely organized. Good sense of humor is key! ",,0,0,0,Full-time,Entry level,High School or equivalent,Computer Software,Administrative,1
538,Technology Consultant - Outside Sales  ,"US, OH, ",,,,"Apply below using link#URL_00962c0bdac3ecf40b2931cbb6493290c8712818f9b055eb964210d5ecab508a#SkyNet Managed Technology Services, a leading IT consulting firmbased in Columbus, Ohio, is seeking a dynamic sales professionalwho can hunt, identify opportunities, and sell technology solutionsand professional services. This is a consultative sales positiondealing directly with a variety of business contacts from C-Levelto Administrative. Experience in selling technology serviceswill give you the advantage.Responsibilities:Actively pursue new business opportunities through prospecting,cold calling, qualifying, scheduling appointments, andnetworkingMeet or exceed targeted monthly, quarterly, and annual salesactivity and sales revenue goalsMaintain the Customer Relationship Management (CRM) database ofclient and prospect informationManage activities, leads, opportunities, and salespipelineRequirements:Bachelor's degree or equivalent preferredMinimum 3 years consultative business-to-business salesexperienceDemonstrated success in prospecting, cold calling, qualifyingand overcoming objectionsFamiliarity with technology industryExceptional verbal, written, interpersonal, and presentationcommunication skillsCustomer focused attitude ensuring the highest level of supportto our customer baseProfessional appearance and conductAbility to quickly establish rapport with a variety of businessdecision makersAbility to understand and execute a professional salesmethodologyUnderstanding of Microsoft Office productsExperience with CRMHigh energy, self starterSkyNet Managed Technology Services was founded in 2002 toprovide technology support to small and medium sized businesses. Wecover a wide-range of solutions for businesses throughout thecountry. Everything from project consulting, internetsolutions, and a complete IT department. Our objective is toeradicate the hassles of IT from our client's lives and let themfocus on dominating in their industry.Excellent compensation plan includes base pay, commissions,performance incentives, training and benefits.To Apply:E-mail resume and cover letter with salary requirements to.",,,0,0,0,Full-time,,,Information Technology and Services,,1
574,Senior Engineering Product Manager,"US, CA, San Jose",Engineering,,"Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            ","Senior Engineering Product ManagerAs a member of the Service Provider Engineering team, you will be responsible for managing the development of broadband DSL products targeted at service providers that provide Home Gateway, voice gateways, wireless adapters, IPTV and Voice over IP (VoIP) services. These products will incorporate one or several of the following technologies: DSL, Routers, 802.11 Wireless, VPN, Firewalls.  The primary function of an engineering product manager is project management and technical oversight. The individual manages the ODM to ensure that products are delivered in a timely fashion to a high quality and in accordance with the procedures and systems. In addition the individual oversees the activities between the component vendors and the ODM. Within the service provider group, another important project management aspect is working with the sales engineers to get products approved at service providers. The individual must manage the technical issues that arise during the approval process and ensure a rapid resolution by working with and through the sales engineers, ODMs and Component vendors. A word from the Recruiter: ""Some of the exciting things that retain engineers here are the new technologies that we integrate into our products. Most People hear about these technologies 9 months after the product development has launched, our engineers actually start learning about the new technologies in advance of any silicon introductions. In most cases, we are an early partner to silicon vendors and help guide the silicon features. This is extremely rare for many of the new members, once they do the first project they want more and more. As you can imagine the value of that engineer is much greater then when they walked in the door."" ""Most engineers that I interview have been disappointed by their employers, and when asked how much ownership they have of the product they developed, the answer is always something like : I only did this this portion of the software, or some portion of the chip, or some portion of the hardware. Not much of an empowerment here.  Here, the PE is the complete owner of every molecule of the product, including mechanical, operation, finance, cost, etc. This empowerment is another added value boost an engineer could benefit from, this value is rare and will push the engineer in the direction of someday running a business end to end with a larger responsibility and scope. The more of these projects they take the faster they reach that level of career growth and maturity."" This is what not shared on the JD. ""How you will mature your career."" Job Responsibilities: • For assigned projects, take overall responsibility for delivering the product to production; including requirements generation, hardware, firmware, documentation, regulatory testing and Agile release requirements, per Netgear policies. It is expected that projects should be managed with minimal supervision. • Project management. Develop and maintain project plans. Keep all stakeholders informed of product status at all times• Project Execution. Manage the suppliers' (ODM, chip vendor, etc.) product development process. • Product Verification. Manage verification testing of product features and performance. • Customer Certification. Manage qualification of products with customers.• Documentation. Provide input for manuals, help files, application notes, marketing materials and tech support.• Support. Resolve any 3 rd level technical support escalations. • Track industry technology developments, supplier roadmaps, standards bodies and make product recommendations","Skills and Requirements MSEE with 5 years of experience in customer premise equipment (CPE) or high volume product developmentDSL Broadband CPE product development experience required802.11 or wireless broadband product development experience requiredManagement of engineering team experience is requiredExperience with developing 3G/4G devices is desiredExperience certifying products with large service providers a plusExperience in complete development life cycle of technology productsSystems engineering background with significant hands-on experience in product development.In depth Domain knowledge in IP networking for Home gatewaysEffective organization, project management and coordination skills; ability to get the job done.Ability and willingness to take ownership of products; get the job done with minimal supervision.Teamwork. This position requires a close working relationship with the extended Netgear team, including engineering, operations, sales, customer support, marketing and program management. Good communication skills, both written and verbal.Experience working in a start-up environment.Self-starter that works well on a team.","What is offered:Broad responsibility, autonomy and visibility in an Engineering role.In-depth exposure to real-world customer issues across a global customer baseSmall-company feel in a growth environmentOpportunity for executive advancementVery competitive compensation packageSignificant stake in equity, stock optionsAttractive bonus programFull benefits package including generous retirement contributionsOpportunity for executive advancementReputable, renowned world-class leadership*Offering $1,000 Referral Bonus for each successful referral.Please contact: Darren Lawson directly at: #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66# or #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9# #URL_99f46a2efd6ad483a11b40eef7a406a29de60d77be6dcb56289f26bd039c1017# ",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Networking,Engineering,1
585,Quality Improvement Manager ,"US, FL, ",,,,"Apply using below link#URL_8b28dea5804b323e29db29adaf9fa38b688e5d9db1f6cf5b6b2e924236a07272#The Quality Improvement Manager is responsible for the furtherdevelopment, operation, oversight and evaluation of the FloridaHealthcare Plus (FHCP) quality improvement program as documented inthe FHC Quality Work Plan. PositionReponsibilities: Manage the FHCP Quality Improvement ProgramSupport and oversee the activities of the FHCP Q.I.Sub-CommitteesDocument and report the progress of the FHCP quality cycleImplement, manage and oversee the quality element of the FHCPModels of CareDevelop and manage the FHCP pre-accreditation auditprogramDevelop and support the FHCP continuous process improvementprogramOperate the FHCP Quality of Care investigation and trackingprogramOversee and support the FHCP quality study activities andinterventionsOperate the FHCP vendor, provider and staff quality trainingand audit programSupervise of the QI Nurse CoordinatorOther responsibilities as assigned by the FHCP Director ofPerformance and QI.PositionSpecifications:Education and Experience: Weare seeking a RN with a minimum 2 years of experience in ManagedCare QI. A successful candidate will have a demonstrablehistory of managing managed care quality programs including thesuccessful support of accreditation or reaccreditation reviews andgovernment payer quality audits. Experience with HEDIS andCAHPS improvement activities is desirable.Special Skills: The candidate must be aself-motivated, extremely energetic leader of people with strongmanagement and organization skills and the capacity to frame theirresponsibilities as a service to the internal and externalcustomers of FHCP. The candidate must be able to efficientlyand effectively document the activities of the Managed Care qualitycycle in the form of committee minutes, policies and procedures,audit preparation activities and other oversight and managementactivities as denoted above. The candidate must be able tosuccinctly articulate concepts of quality improvement asapplicable to the varied areas of managed care operation in bothwritten and verbal formNature of Work: Healthcare Industry experienceSolid organizational skills and focus on accuracy and attentionto detail.Excellent analytical, problem solving and troubleshootingabilitiesSelf-motivated with the ability to work both independently andin a team environment",,,0,0,0,Full-time,,,Hospital & Health Care,,1
604,Lead Mechanical Engineer,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future.We are looking for a Lead Mechanical Engineer to join our team in Houston, Texas.The Lead Mechanical Engineer will be responsible for providing expertise and technical leadership to the organization.Responsibilities and tasks• Performs mechanical calculations and technical analysis on various custom components and reviews mechanical design of equipment to ensure that specifications are met;• Prepares and presents complex technical reports, equipment data sheets, MRQ’s, TBE’s and MRP’s, and makes recommendations on critical engineering issues;• Work with certifying agencies for product development and follows through with ABSA registrations;• Leads and reviews project design decisions, budgets, and scheduling;• Identifies solutions to achieve company objectives and ensure that the team is aligned.• Interfaces directly with the customer and participates in preparing bids and proposals;• Ensure processes are followed correctly and continuously identifies opportunities to improve efficiencies;• Ensure team members are kept current on procedure QMS changes;• Provides leadership, technical guidance and mentor-ship to other engineers.","Qualifications &amp; personal attributes• Mechanical Engineering Degree (or equivalent) is required.• 5-10 years related experience within an EPC, Oil &amp; Gas, Fabrication shop and/or Engineering environment is required.• Registration with APEGGA (or eligibility to be a member) is required.• Must have experience with different types of mechanical equipment including Pressure Vessels, Pumps, Heat Exchangers.• Familiarity with the industry codes relevant to the above equipment, specifically relevant ASME and API 610.• Ability to effectively present information and respond to questions from managers, employees, customers and the general public• Proficiency with Microsoft Office applications• Excellent time management/prioritization skills with the ability to work effectively with minimal supervision and manage multiple, conflicting tasks/projects",We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,0,1,0,Full-time,,,Oil & Energy,Engineering,1
