job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
607,Director of Strategy,"US, CA, San Mateo",Engineering,,"Bright Edge and Aptitude Staffing Solutions have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!BrightEdge today is over 180 employees strong, and continuously growing. BrightEdge has over 8400 brands and 650 direct customers, and has lead the market in SEO innovation. The new headquarters reflect BrightEdge's growth and the maturity of the company, with a sleek and modern space in the heart of Silicon Valley.Stay tuned, as BrightEdge's story is only beginning. ","Director of Strategy | San Mateo, CA Interested in a company that has doubled annually for the last three years? Benchmarking in the top percentile of SaaS companies that have ultimately gone public? Deeply capitalized?  Backed by investors such as Battery Ventures and Intel Capital? DescriptionThis role is responsible for building and leading the newly formed Corporate Strategy function.   It will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues.    It will be an extremely visible role in the company and work across the entire organization.   This role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff.    Due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested.    Responsibilities:Evaluation of industry trends to develop implications and recommend strategies;Development of strategic recommendationsEvaluation of new business opportunities;New market analysis and entry strategies;Creation of new initiatives drawing on an integrated offering across multiple business units;Evaluation of new technologies; ","Requirements:Previous experience at a top-tier management consulting firmQualitative and quantitative analytical/financial analysis abilities, good judgment, and excellent problem solving skills.Excellent project management and ability to prioritize among competing prioritiesA history successfully engaging internal and external stakeholders (at various levels and across functions) on transformational new ideas; adept at moving senior management to actionExcellent written and verbal communication skills, including the confidence and polish to routinely interact with an executive level audienceThe ideal candidate will have experience at a management consulting firm or internal corporate strategy developing profitable growth strategiesPrevious experience in Software not required, though helpfulFunctional experience in strategic planning, consulting, finance, venture capital, or software operationsBA required",,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Engineering,1
629,UST Testing Technician II ,"US, CA, Bakersfield",Oil & Energy ,65000-75000,"Jaco Oil and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_80d75e0d07ca8b108539318a0443bfe5d1ff472afa0c4540b77079c5d5f31eee#) #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#","Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered. Thank you for your cooperation.  Please no recruiters.  UST Testing Technician II Bakersfield, CA Local Petroleum Company operates primarily in retail and wholesale of motor fuels and other related petroleum products and is seeking talented, experienced, maintenance technicians to perform troubleshooting and maintenance on their retail gasoline equipment. RESPONSIBILITIESThe ideal candidate will have experience working with retail gasoline dispensing and peripheral equipment, UST systems, weights and measures compliance, and computer applications. Certifications with Gilbarco, Ruby, Sapphire, and VeederRoot Tank Gauging preferred.Schedule testing with local agencies. ",Job site set-up.Loading and unloading of equipment.Pressurized system.Locate any potential problems that may occur with testing. (Prior)Install Bravo Retrofit fittings.Install underground piping.Fill sumps for testing.Pump out sump after testing.Must have or be able to obtain manufacturers certifications.Keep job site clean at all times.,"Competitive compensation package including base + full benefits package + expense account + per diem and increase in base + many perks.Clean, safe and professional working environment / culture.  The management team has a great reputation for taking good care of employees.  Steady, consistent employment opportunity- company has a history and reputation for the tenure of employees for the long-term. No layoffs or terminations. When work is slow the team always has work to keep current employees on a full-time status so you can feel confident your employment will be steady and something you can count on. If you like to travel and enjoy your independence, this position is for you. You will be traveling to multiple sites on overnight visits throughout the week and be working mostly independently. The position is available right away as we are prepared to move forward fairly quickly upon identifying the right candidate.  Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered. Thank you for your cooperation.  Please no recruiters.  ",0,1,1,Full-time,Mid-Senior level,Certification,Oil & Energy,Other,1
662,Director of Strategy,"US, CA, San Mateo",Engineering,,"Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            ","Director of Strategy | San Mateo, CA Interested in a company that has doubled annually for the last three years? Benchmarking in the top percentile of SaaS companies that have ultimately gone public? Deeply capitalized?  Backed by investors such as Battery Ventures and Intel Capital? DescriptionThis role is responsible for building and leading the newly formed Corporate Strategy function.   It will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues.    It will be an extremely visible role in the company and work across the entire organization.   This role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff.    Due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested.    Responsibilities:Evaluation of industry trends to develop implications and recommend strategies;Development of strategic recommendationsEvaluation of new business opportunities;New market analysis and entry strategies;Creation of new initiatives drawing on an integrated offering across multiple business units;Evaluation of new technologies; ","Requirements:Previous experience at a top-tier management consulting firmQualitative and quantitative analytical/financial analysis abilities, good judgment, and excellent problem solving skills.Excellent project management and ability to prioritize among competing prioritiesA history successfully engaging internal and external stakeholders (at various levels and across functions) on transformational new ideas; adept at moving senior management to actionExcellent written and verbal communication skills, including the confidence and polish to routinely interact with an executive level audienceThe ideal candidate will have experience at a management consulting firm or internal corporate strategy developing profitable growth strategiesPrevious experience in Software not required, though helpfulFunctional experience in strategic planning, consulting, finance, venture capital, or software operationsBA required",,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Engineering,1
741,Health + Safety Professional,"US, CA, Bakersfield",HSE (Health Safety Environmental),80000-120000,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","Health &amp; Safety Professional | Bakersfield, CAThis position monitors, analyzes, recommends, and implements systems to improve integration of safety compliance and business success through interactions at the employee and supervisor levels. This position is part of the HSE team, and requires a person that is team oriented, and someone who is looking to share their knowledge while seeking new opportunities within and outside of the safety specialty.Work Environment;This position works primarily in a field environment supporting operations, drilling, production, and construction. The working conditions for this position vary and maybe hazardous and or unpleasant at times. The individual filling this position will be exposed to weather and temperature extremes, dust, oil, and other environmental factors. The person that fills this position must have a core belief that safety’s and production’s success are linked.","Duties and Responsibilities:Provides safety policy and program clarification to employees and contractors.Provides recommendations and participates in efforts to improve safety policies.Be safety champion and coach with;PersonnelContractorsRegulatory agency representativesProvides incident management leadership and mentors others during incident management drills and eventsGenerates ideas and solutions that are technologically and regulatory current, innovative and with the ability to meet business objectives while being compliant with company policies and applicable regulations.Regularly performs Process Hazard Analysis, develops and approves JSA’s, Hot Work, and Confined Space workLeads, participates, and trains others during investigations. Tracks corrective actions to completionManages projects and timely communicates problems and achievementsMeets daily with employees and contractorsOversees and performs safety inspections, audits, and industrial hygiene samplingProvides and or supports others providing appropriate safety trainingApplication of OSHA VPP and Safety Management SystemsParticipates in the HES CommitteeProduces written documents with clearly organized thoughts using proper sentence construction, punctuation, and grammarEnter data or information into a computerized maintenance management system and other databasesWork safely and communicate a commitment to work safely to othersMinimum Education, Knowledge &amp; Experience:Has or is about to achieve a Bachelor’s degree or an Associate’s degree from a school and program recognized by BCSP (Board of Safety Professionals)Minimum of five plus (5+) years of professional level experience in the field of safety compliance is required.Demonstrable experience with the following agencies and programs is highly desirable:Federal OSHA, Cal OSHA, Kern County Fire Department, California Fire Marshal, DOTEmergency Response/ HazWOpER, Adult learning and influencing techniques, development and implementation of cultural improvement methodologies, OSHA VPPHas or is working toward ANSI and or BCSP recognized certificationsKnowledge and prior use of Microsoft Office programs including intermediate knowledge of MicrosoftPower Point, and Word. Microsoft SharePoint experience is a plus.Please contact Darren Lawson to be considered for this opportunity and/or any questions you may have.Darren Lawson | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_cffae4bedb34c649ee9ffc7c3c6544757c68556e2dd749e0dab689fb5ce26a73#","What is offered:Competitive compensation package100% matched retirement fundAnnual vacations paid for by companySignificant bonus structureOpportunity for advancement Full benefits packageAnnual performance reviews and base salary increasesAnnual cost of living increases Sound, clean, safe and enjoyable working environment &amp; Company CultureWorld renound management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goalsQualified candidates please apply directly to this posting.  You may follow up with questions by contacting Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Other,1
813,UST Testing Technician II ,"US, CA, Bakersfield",Oil & Energy ,65000-75000,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","   UST Testing Technician II Bakersfield, CA Local Petroleum Company operates primarily in retail and wholesale of motor fuels and other related petroleum products and is seeking talented, experienced, maintenance technicians to perform troubleshooting and maintenance on their retail gasoline equipment. Responsibilities:The ideal candidate will have experience working with retail gasoline dispensing and peripheral equipment, UST systems, weights and measures compliance, and computer applications. Certifications with Gilbarco, Ruby, Sapphire, and Veeder Root Tank Gauging preferred.Schedule testing with local agencies. ",Job site set-up.Loading and unloading of equipment.Pressurize system.Locate any potential problems that may occur with testing. (Prior)Install Bravo Retrofit fittings.Install underground piping.Fill sumps for testing.Pump out sump after testing.Must have or be able to obtain manufacturers certifications.Keep jobsite clean at all times.,"Competitive compensation package including base + full benefits package + expense account + per diem and increase in base + many perks.Clean, safe and professional working environment / culture.  The management team has a great reputation for taking good care of employees.  Steady, consistent employment opportunity- company has a history and reputation for the tenure of employees for the long-term. No layoffs or terminatins. When work is slow the team always has work to keep current employees on a full-time status so you can feel confident your employment will be steady and something you can count on. If you like to travel and enjoy your indipendence, this position is for you. You will be traveling to multiple sites on overnight visits throughout the week and be working mostly indipendently. The position is available right away as we are prepared to move forward fairly quickly upon identifying the right candidate.  Qualified candidates please apply for immediate consideration.  Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c#",0,1,1,Full-time,Mid-Senior level,Certification,Oil & Energy,Other,1
815,Project Manager: Engineer,"US, CA, Bakersfield",Oil & Energy,,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs.Essential Duties and Responsibilities:* Develop budget and schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Adequate knowledge in project deliverables like Process Flow Diagram, PID, Area classification drawing, electrical one line drawing, etc.* Able to develop the project execution plan.* Interface with the client and develop rapport.* Request appropriate resources to execute the project work.* Manage the project personnel.* Effective communication skills - with the client and inter discipline personnel within the company.* Project tracking/monitoring - budget and schedule with the help of project control personnel.* Perform engineering calculations to support the project* Follow and implement standard project procedures per ProU Project Procedure Manual* Ability to relate project drawings with field construction.* Soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully.* Ability to control the quality of project deliverables.","Qualifications:Managed small to mid-size engineering projects.10 to 15+ years experience as a Mechanical, Chemical, or Process Engineer required.Five+ years experience as a Project Manager/Project Lead required.Oil &amp; Gas Upstream experience involving production surface facilities &amp; treatment (May have gas process plant experience).Familiarity with process industry standards and applicable codes like ASME, API, ANSI, NACE, etc.Must possess a minimum of a Bachelor's Degree in Mechanical or other Engineering field from an accredited university. Experience Preferred:PE registration in California preferred.PMP registration a plus.","What is Offered:* Clean, safe, enjoyable environment to work in with a great company culture that values work/life balance.* Competitive base rate + Incentives + Full Benefits Package + Retirement 401K 100% matched by company.* Relocation Assistance. * Signing Bonus.* Opportunity for Advancement.* Trips, outings, rafting trips, lunches, client appreciation get-togethers, company parties, great people, great culture!",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Project Management,1
817,Technician Instrument & Controls ,"US, TX, Deweyville",Power Plant & Energy,,"Edison International and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_80d75e0d07ca8b108539318a0443bfe5d1ff472afa0c4540b77079c5d5f31eee#) #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#","Technician Instrument &amp; ControlsLocation Deweyville, TXLocation Name: NRG Cottonwood EnergyCategory: MaintenanceState/City: US-TX-DeweyvilleType: Full Time Hourly# Openings: 1Details About this Career Opportunity:Overview:Company Profile:We deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. A Fortune 500 company is challenging the U.S. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. In addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.GENERAL SUMMARYThe Instrumentation Controls and Electrical Technician (IC&amp;E) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. The IC&amp;E Technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.PRIMARY FUNCTIONS- Safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.- Maintain complete equipment files, logs, and drawings for all designated equipment.- Assist in maintaining and controlling spare parts inventory to maintain plant reliability. Assist in physical inventories.- Participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.- Inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.- Conduct trouble shooting and analysis on DCS, PLC and GE Mark VI turbine control equipment.- Maintain all plant instrumentation and electrical test equipment.- Fully support and participate in NAES Safety and Regulatory Compliance Programs.- Complete other tasks as assigned by the Maintenance Manager or the Plant Manager.SCOPE OF RESPONSIBILITYThe IC&amp;E Technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. Decisions are made within prescribed operating and casualty procedures and guidelines. The ICE Technician encounters recurring work situations of high complexity, with occasional variations from the norm.The IC&amp;E Technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. The ICE Technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. The ICE Technician must perform duties in such a way to result in an optimum cost-benefit ratio.The IC&amp;E Technician may also be assigned the additional responsibility of Maintenance Coordinator/Planner for the site. This is a collateral assignment given to a selected maintenance department technician to assist the Operations and Maintenance Manager with the routine planning and coordination of the site equipment maintenance.The duties include:- The planning and review of the preventative, predictive and pro-active type maintenance.- A more in-depth knowledge and ability to use the CMMS system to provide the necessary review and planning to support the O&amp;M Manager in weekly work routines.- Ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.- Provide the coordination efforts necessary in support of allowing the O&amp;M Manager to provide the necessary supervision and direction of the maintenance technicians.All employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met.","JOB QUALIFICATIONS- Ability to understand procedures and instructions specific to the area of assignment as would be acquired in four years of high school.- Graduation from an accredited Instrument Technician Program and minimum two years’ work experience as a technician in a related industry desirable.- Four years work experience as a technician with increasing responsibility in a related industry may be substituted for the above requirement.- Experience in working with voltages up to 4160 volts highly desirable.- Must have excellent oral and written communication skills. Ability to work well with others and be self-directed, as well as apply creative solutions to unique I&amp;E problems is desirable.- Must be able to work from blueprints.- Must be skilled in the use of hand and power driven tools.- Must be proficient in computers and computer software such as MS Office, Excel, and Word; Networking, hardware, and current security requirements for NERC Compliance.Qualifications:Title/Salary Commensurate on ExperienceOfficial description on file with Human Resources","we are a team of almost 8,000 employees who help power almost 40 million homes and have more than 2 million residential and business customers across the country. Together, we are powering progress every day—from California to Texas and New Jersey to Arizona.",0,1,0,,,,,,1
826,Project Controls Technician,"US, CA, Bakersfield",Oil & Energy,,"Process Unlimited and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_481fc4262f0c07ace903481f1e036034d0bf128e0a91a2313344f34a26bca732#a).  #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#","Essential Duties and Responsibilities:* Assist in developing the engineering cost estimate per Job Definition Document.* Develop the project schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Understand standard project deliverables such as: Process Flow Diagram, PID, Area classification drawing, electrical one-line drawing, etc., and major tasks involved in generating each deliverable.* Assist in developing the project execution plan.* Interface with the client and develop rapport.* Monitor and track project budget and schedule.* Perform budget and schedule variance analysis at set intervals during the project execution phase to help project leads and clients track the project progress. Investigate project cost and schedule variances.* Effective communication skills - with the client and interdiscipline personnel within the company.* Perform earned man-hours calculations to estimate the real progress of the project.* Follow and implement standard project procedures per Project Procedure Manual.* Soft skills to interact with multidiscipline technical staff and promote team spirit to execute the project successfully.* Generate project reports, weekly work plans, etc.* Generate Design change orders for applicability to cost and schedule control, both with respect to original scope and fees.* Assist in project closeout with project leads.","General Qualifications:Excellent communication skills is required.Must have a desire to learn, work in a team environment, a and have a winning attitude. Experience Required:Project Control Professional 10+ years experienceProject Control Specialist 5 to 10 years experienceProject Control Tech 1 to 10 years experience Software Experience: - MS Project, requiredPrimavera 6 a plus, but not requiredMicrosoft OfficeExcelMS Word Experience Preferred:Project Controls experience for small to large projects from conception, through construction, to closeout. Required Education:High school diploma rquired, with an accounting or business degree preferred.","* Clean, safe, and enjoyable working environment with a great company culture that values work/life balance.* Competitive base rate + Incentives + Full Benefits Package + Retirement 401K 100% matched by company.* Relocation Assistance. * Signing Bonus.* Opportunity for Advancement.* Trips, outings, rafting trips, lunches, client appreciation get-togethers, company parties, great people, great culture! ",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Accounting/Auditing,1
844,Technical & Customer Support Associates,"US, PA, Philadelphia",CSA REP,23000-32000,"The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!","Interface with customers via inbound or outbound calls or the Internet for the purpose of resolving routine problems with products or services.Greet customers in a courteous, friendly, and professional manner using agreed upon procedures.Listen attentively to customer needs and concerns; demonstrate empathyClarify customer requirements; probe for and confirm understanding of requirements or problemMeet customer requirements through first contact resolutionConfirm customer understanding of the solution and provide additional customer education as neededPrepare complete and accurate work and update customer fileCommunicate effectively with individuals/teams in the program to ensure high quality and timely expedition of customer requestsEffectively transfer misdirected customer requests to an appropriate party. Contribute ideas on ways to resolve problems to better serve the customer and/or improve productivityParticipate in activities designed to improve customer satisfaction and business performanceOccasionally use decision-support tools to answer questionsSolve problems that are sometimes unstructured and that may require reliance on conceptual thinkingOffer solutions to issues that are often non-standard/non-routine and require some clarificationMaintain broad knowledge of client products and services","Knowledge of basic computer operationsWillingness to rotate shifts, as neededAbility to learnCourteous with strong customer service orientationDependable with proficient attention to detailMust be flexible with the ability to adapt to changes quickly and think conceptuallyPossess insight into self and othersSolid problem solving skillsSome technical knowledgeExcellent Customer Service SkillsStrong written, verbal and organization skillsSuperior time management and prioritization skillsProficiency with navigating through multiple systemsTyping skillsExcellent listening and responding skillsAbility to learn on the fly, listen and apply problem solving skillsMinimum of High School Diploma / GED",Excellent BenefitsStrong Performance IncentivesExceptional Growth OpportunityIndustry Leading TrainingInbound Calls Only,0,1,1,Full-time,Associate,High School or equivalent,Financial Services,Customer Service,1
